field,v1_baseline_bytes,v2_all_optimizations_bytes,v3_text_only_bytes,v2_vs_v1_pct,v3_vs_v1_pct
[TOTAL] store,263130519558,208936573984,257784704100,-20.6%,-2.0%
[TOTAL] inverted_index,73406806335,19587730470,67943332835,-73.3%,-7.4%
[TOTAL] stored_fields,66078483599,66471756828,66815381119,+0.6%,+1.1%
[TOTAL] doc_values,110043608047,110468721063,110466054264,+0.4%,+0.4%
[TOTAL] points,12272057701,12271593430,12271985534,-0.0%,-0.0%
[TOTAL] norms,1000000000,0,0,-100.0%,-100.0%
,,,,,
Body,15696667411,9345860216,9345939413,-40.5%,-40.5%
LogAttributes,33033497962,21751232380,33034892276,-34.2%,+0.0%
LogAttributes._keyed,32349759968,21501653380,32351067502,-33.5%,+0.0%
ResourceAttributes,26275360447,18901045249,26274417459,-28.1%,-0.0%
ResourceAttributes._keyed,33643025785,24994847156,33642182141,-25.7%,-0.0%
ResourceSchemaUrl,49694740,1470883,49698668,-97.0%,+0.0%
ScopeName,615324403,335486270,615379928,-45.5%,+0.0%
ScopeSchemaUrl,47852141,5,47851983,-100.0%,-0.0%
ScopeVersion,50388870,3120516,50388323,-93.8%,-0.0%
ServiceName,49089536,49089100,49090744,-0.0%,+0.0%
SeverityNumber,747249738,747237680,747246333,-0.0%,-0.0%
SeverityText,644459288,644431143,644441513,-0.0%,-0.0%
SpanId,9521332859,5909719908,9521342528,-37.9%,+0.0%
Timestamp,10607988867,10607974969,10608021927,-0.0%,+0.0%
TimestampTime,360551821,359989363,360470064,-0.2%,-0.0%
TraceFlags,363916010,363916537,363916738,+0.0%,+0.0%
TraceId,14431374350,8790866731,14430963323,-39.1%,-0.0%
_field_names,0,47851994,47851998,n/a,n/a
_id,11916330779,11232537388,11772808124,-5.7%,-1.2%
_seq_no,7720268626,8150122030,8141282926,+5.6%,+5.5%
_source,64676822081,65061348893,65397499841,+0.6%,+1.1%
