query,type,v1_cold_s,v2_cold_s,v3_cold_s,v2_cold_vs_v1_pct,v3_cold_vs_v1_pct,v1_hot_s,v2_hot_s,v3_hot_s,v2_hot_vs_v1_pct,v3_hot_vs_v1_pct
Q1,DSL,1.372,1.244,1.246,-9.3,-9.2,0.159,0.164,0.179,3.1,12.6
Q1,ES|QL,1.773,1.647,1.696,-7.1,-4.3,0.192,0.288,0.189,50.0,-1.6
Q2,DSL,1.71,1.69,1.651,-1.2,-3.5,0.436,0.481,0.509,10.3,16.7
Q2,ES|QL,3.039,2.98,2.922,-1.9,-3.8,0.591,0.624,0.626,5.6,5.9
Q3,DSL,3.286,3.29,3.184,0.1,-3.1,0.578,0.578,0.56,0.0,-3.1
Q3,ES|QL,3.93,3.996,3.984,1.7,1.4,0.575,0.55,0.58,-4.3,0.9
Q4,DSL,0.049,0.044,0.046,-10.2,-6.1,0.003,0.003,0.003,0.0,0.0
Q4,ES|QL,0.482,0.464,0.467,-3.7,-3.1,0.01,0.011,0.011,10.0,10.0
Q5,DSL,0.422,0.336,0.351,-20.4,-16.8,0.042,0.048,0.041,14.3,-2.4
Q5,ES|QL,0.853,0.785,0.76,-8.0,-10.9,0.047,0.047,0.045,0.0,-4.3
Q6,DSL,0.616,0.577,0.552,-6.3,-10.4,0.361,0.38,0.346,5.3,-4.2
Q6,ES|QL,1.144,1.108,1.075,-3.1,-6.0,0.446,0.35,0.413,-21.5,-7.4
Q7,DSL,0.433,0.382,0.351,-11.8,-18.9,0.061,0.064,0.066,4.9,8.2
Q7,ES|QL,0.895,0.879,0.892,-1.8,-0.3,0.106,0.104,0.093,-1.9,-12.3
Q8,DSL,0.351,0.295,0.294,-16.0,-16.2,0.019,0.027,0.02,42.1,5.3
Q8,ES|QL,0.811,0.801,0.799,-1.2,-1.5,0.033,0.036,0.036,9.1,9.1
Q9,DSL,1.31,1.243,1.248,-5.1,-4.7,0.117,0.118,0.121,0.9,3.4
Q9,ES|QL,1.843,1.795,1.82,-2.6,-1.2,0.158,0.158,0.159,0.0,0.6
